variant_id,person_id,canonical_name,variant,variant_type
V000001,P0001,Accius Postumius,Accius Postumius,canonical
V000002,P0002,Adaeus,Adaeus,canonical
V000003,P0003,Aemilianus,Aemilianus,canonical
V000004,P0004,Aeschines,Aeschines,canonical
V000005,P0005,Apaturius,Apaturius,canonical
V000007,P0006,Albucius Silus,Albuci Sili,variant
V000008,P0006,Albucius Silus,Albucii Sili,variant
V000009,P0006,Albucius Silus,Albucius,variant
V000006,P0006,Albucius Silus,Albucius Silus,canonical
V000010,P0007,Antonius Atticus,Antonius Atticus,canonical
V000011,P0007,Antonius Atticus,Atticus,variant
V000013,P0008,Agroitas Massilienis,Agroitas,variant
V000012,P0008,Agroitas Massilienis,Agroitas Massilienis,canonical
V000015,P0009,Alfius Flauus,Alfi Flaui,variant
V000016,P0009,Alfius Flauus,Alfio Flauo,variant
V000014,P0009,Alfius Flauus,Alfius Flauus,canonical
V000018,P0010,Apollodorus,Apollodorum,variant
V000017,P0010,Apollodorus,Apollodorus,canonical
V000019,P0011,Apollonius,Apollonius,canonical
V000021,P0012,Arbronius Silo,Arbronium Silonem,variant
V000020,P0012,Arbronius Silo,Arbronius Silo,canonical
V000032,P0013,Arellius Fuscus,Arelli,variant
V000024,P0013,Arellius Fuscus,Arelli Fusci,variant
V000023,P0013,Arellius Fuscus,Arelli Fusci Patris,variant
V000030,P0013,Arellius Fuscus,Arellium Fuscum,variant
V000022,P0013,Arellius Fuscus,Arellius Fuscus,canonical
V000025,P0013,Arellius Fuscus,Fusci Arelli,variant
V000028,P0013,Arellius Fuscus,Fusci Arelli Patris,variant
V000026,P0013,Arellius Fuscus,Fusco Arellio,variant
V000031,P0013,Arellius Fuscus,Fuscum,variant
V000029,P0013,Arellius Fuscus,Fuscus,variant
V000027,P0013,Arellius Fuscus,Fuscus Arellius,variant
V000034,P0014,Argentarius,Argentari,variant
V000035,P0014,Argentarius,Argentarii,variant
V000033,P0014,Argentarius,Argentarius,canonical
V000036,P0015,Asilius Sabinus,Asilius Sabinus,canonical
V000037,P0015,Asilius Sabinus,Sabinus Asilius,variant
V000039,P0016,Atticus Vipsanius,Attico Vipsanio,variant
V000038,P0016,Atticus Vipsanius,Atticus Vipsanius,canonical
V000042,P0017,L Arruntius,Arruntius,variant
V000040,P0017,L Arruntius,L Arruntius,canonical
V000041,P0017,L Arruntius,L. Arruntius,variant
V000044,P0018,Artemon Glycon,Artemo,variant
V000043,P0018,Artemon Glycon,Artemon Glycon,canonical
V000046,P0019,Asinius Pollio,Asini Pollionis,variant
V000051,P0019,Asinius Pollio,Asinius,variant
V000045,P0019,Asinius Pollio,Asinius Pollio,canonical
V000049,P0019,Asinius Pollio,Pollio,variant
V000047,P0019,Asinius Pollio,Pollio Asinius,variant
V000050,P0019,Asinius Pollio,Pollionem Asinium,variant
V000048,P0019,Asinius Pollio,Pollionis Asini,variant
V000052,P0020,Attalus,Attalus,canonical
V000054,P0021,Aufidius Bassus,Aufidi Bassi,variant
V000056,P0021,Aufidius Bassus,Aufidius,variant
V000053,P0021,Aufidius Bassus,Aufidius Bassus,canonical
V000055,P0021,Aufidius Bassus,Bassi Aufidi,variant
V000057,P0022,Barbarus,Barbarus,canonical
V000059,P0023,Blandus,Blandi,variant
V000060,P0023,Blandus,Blando,variant
V000058,P0023,Blandus,Blandus,canonical
V000061,P0024,Buteo,Buteo,canonical
V000062,P0024,Buteo,Buteonis,variant
V000063,P0025,Brocco,Brocco,canonical
V000064,P0025,Brocco,Broccus,variant
V000066,P0026,Bruttedius Niger,Bruttedi Nigri,variant
V000065,P0026,Bruttedius Niger,Bruttedius Niger,canonical
V000067,P0026,Bruttedius Niger,Nigro Bruttedio,variant
V000068,P0027,Brutus Bruttedius,Brutus Bruttedius,canonical
V000069,P0028,Caius Sallustius Crispus,Caius Sallustius Crispus,canonical
V000070,P0028,Caius Sallustius Crispus,Sallusti,variant
V000071,P0028,Caius Sallustius Crispus,Sallustio,variant
V000072,P0028,Caius Sallustius Crispus,Sallustium,variant
V000074,P0029,Caluus Licinius,Caluus,variant
V000073,P0029,Caluus Licinius,Caluus Licinius,canonical
V000076,P0030,Cassius Seuerus,Cassi Seueri,variant
V000075,P0030,Cassius Seuerus,Cassius Seuerus,canonical
V000077,P0030,Cassius Seuerus,Seuerus Cassius,variant
V000078,P0031,C Cassius,C Cassius,canonical
V000079,P0031,C Cassius,C. Cassi,variant
V000080,P0031,C Cassius,C. Cassium,variant
V000082,P0032,Catius Crispus,Catius Crespus,variant
V000081,P0032,Catius Crispus,Catius Crispus,canonical
V000087,P0033,Cestius Pius,Cesti,variant
V000085,P0033,Cestius Pius,Cesti Pi,variant
V000084,P0033,Cestius Pius,Cesti Pii,variant
V000086,P0033,Cestius Pius,Cestius,variant
V000083,P0033,Cestius Pius,Cestius Pius,canonical
V000091,P0034,Claudius Marcellus Aeserninus,Claudi Marcelli,variant
V000089,P0034,Claudius Marcellus Aeserninus,Claudi Marcelli Aesernini,variant
V000088,P0034,Claudius Marcellus Aeserninus,Claudius Marcellus Aeserninus,canonical
V000093,P0034,Claudius Marcellus Aeserninus,Marcelli,variant
V000090,P0034,Claudius Marcellus Aeserninus,Marcelli Aesernini,variant
V000092,P0034,Claudius Marcellus Aeserninus,Marcellus Aeserninus,variant
V000095,P0035,Clodius Sabinus,Clodi Sabini,variant
V000096,P0035,Clodius Sabinus,Clodius Sabini,variant
V000094,P0035,Clodius Sabinus,Clodius Sabinus,canonical
V000097,P0035,Clodius Sabinus,Sabinus Clodius,variant
V000102,P0036,Clodius Turrinus,Clodi,variant
V000099,P0036,Clodius Turrinus,Clodi Turrini,variant
V000100,P0036,Clodius Turrinus,Clodi Turrini Patris,variant
V000098,P0036,Clodius Turrinus,Clodius Turrinus,canonical
V000101,P0036,Clodius Turrinus,Turrinus Clodius,variant
V000106,P0037,Cornelius Hispanus,Corneli Hispani,variant
V000107,P0037,Cornelius Hispanus,Cornelii Hispani,variant
V000108,P0037,Cornelius Hispanus,Cornelio,variant
V000103,P0037,Cornelius Hispanus,Cornelius Hispanus,canonical
V000105,P0037,Cornelius Hispanus,Hispani Corneli,variant
V000104,P0037,Cornelius Hispanus,Hispanus Cornelius,variant
